Term	Instance	Annotation
數據	現在不管什麼都可以稱為AI，例如應用大量數據的機器學習和機會學習、甚至傳統的統計方法、圖像識別等，好像全都可以稱為AI。	neutral
數據	但是，目前的AI還是以輸入大量的數據和學習為前提。	neutral
數據	如果沒有蒐集、投入大量的數據，很難提高AI的能力，的確這也是目前存在的瓶頸。	negative
數據	為了提高準確度和能力，必須使用大量的數據進行練習。	neutral
數據	但是，這也僅是意味著，這家公司為了大量數據的學習，比較願意花費較長的時間罷了，沒有比較大資本企業的投資，還是很難得到比較有成效的結果。	negative
數據	而且，在許多情況下，僅就一個企業或一個業界領域的數據，實在是不足以創造新的商機。	negative
數據	如果沒有加入其他各種企業所擁有的數據或是公開資料、SNS上的資訊等，應該很難獲得較有意義的結果。	neutral
數據	為了解決這個問題，有必要與擁有數據的各種公司合作並共享資料，如第四章和第五章的5.4所述。	neutral
數據	或者需要一種能讓數據流通的機制。	neutral
數據	由此可知，當決定讓AI進行學習時，必須好好思考希望提供AI什麼樣的數據進行學習。	neutral
數據	如果想嘗試將IoT的數據應用於AI時，重要的決策關鍵，就是學習的時間和費用。	neutral
數據	（或是進行AI學習，可以減到最少的數據量？	neutral
數據	KITBIT本身非常擅長分析大量的數據，即使是不存在的大量數據，也可以進行有效地學習。	positive
數據	通常，人工智慧所要的學習數據量，會伴隨著目的、數據的性質、預期達到的表現等，產生許多復雜的變化。	neutral
數據	KIBIT的存在，就是可以在非常有限的數據量狀況下，進行重複的學習、提高學習的效能，可以使用最少的學習數據量，發揮最高的效能。	positive
數據	根據數據的學習情況，再透過加權的優化計算方式，就可以自動提高需要判斷的結果召回率（Recall）。	positive
數據	未來，應該還會有這種非大數據（Non-big data）也可以進行學習的方法會陸續登場。	neutral
數據	物聯網系統的開發重點，不在於設備內部的封閉式系統開發，而是如何將數據傳送到雲端、如何提供雲端與設備端之間的數據處理、分擔作業。	neutral
數據	從基礎到實戰、從感測器到物聯網平台，作者群在書中詳細講解感測器的種類、可採集的數據特徵、通信方式、彙總分析數據的方法等。	positive
數據	劉靜怡說：「如果法官必須仰賴AI作判決，『數據品質』就非常重要，你到底選了哪些判決讓機器學習？	neutral
