Term	Instance	Annotation
隱私	在這樣的情況下，個人隱私與資料自主性是否會受到侵害？	negative
隱私	AI的人臉辨識技術，讓需要辨識身分的數位服務更加便利，例如許多人擔憂臉書辨識照片的AI技術，會更容易洩漏個人資訊；但另一方面，有團隊正研究如何運用AI來保護照片的隱私。	neutral
隱私	只要運用Fawkes就不用擔心照片洩漏隱私的問題嗎？	negative
隱私	用擾動的技術來欺騙人臉辨識系統，雖然可以保護照片隱私，但也可以欺騙其它的辨識系統，所以也帶來許多安全的隱憂。	 negative
隱私	而且要運用Fawkes軟體保護照片隱私，需要先由人類設定訓練Fawkes對抗雜訊的目標，可能是希望讓辨識系統無法辨識，或辨識錯誤。	neutral
隱私	現在許多人工智慧系統可以快速且精準的偵測人臉，並辨識其身分，雖然可以應用在許多有封閉網路的安全系統上，例如保安系統、海關自動通關系統等，但也容易造成使用者隱私洩漏的疑慮。	negative
隱私	多數人不願意自己隱私被侵犯，希望現在的系統可以保護自己的隱私，或是讓人臉辨識系統失效，Fawkes可以做到後者。	negative
隱私	然而人臉辨識系統的更新是日新月異，難保未來有其他新型態的人臉辨識系統可以成功辨識出這些受干擾的人臉影像，所以Fawkes對於隱私保護，其實有限。	negative
隱私	因此讓AI無法辨識照片，是否就能保護隱私，我覺得可以再討論。	neutral
隱私	該是用隱私運算的方法，例如同態加密 （Homomorphic encryption）（ref.3），但因為目前電腦用隱私運算方法的速度很慢，尚未能實際應用。	negative
隱私	若培養使用者的隱私保護概念，讓大家了解使用AI相關應用下可能的隱私道德風險，較能避免照片隱私洩漏。	neutral
隱私	如果針對隱私很注重的人，可以讓小擾動的幅度大一點，就能維持較佳的隱私。	neutral
隱私	長期來說，我認為除非電腦視覺的研究停滯不前，否則電腦視覺的判斷技術應該會更穩定，這類保護隱私的方式會失效。	negative
隱私	但短期內，這種方式還是能達到一定的隱私保護效果。	positive
隱私	CloudMile萬里雲營運長高斌恒也受邀分享，各個科技巨頭都紛紛有許多針對隱私權的規範和措施，消費者的線上線下界線越來越模糊。	neutral
隱私	由於她曾生活在警察國家的監視下，她認為歐洲應該制定隱私權保護及全球數位標準的規則——以成為美國和中國之外的選擇。	neutral
隱私	目前我國尚未有法規或是專法來規範「數位性暴力」，張凱強，說台灣社會必須意識到「數位性暴力」的嚴重問題，行政院也應儘速制定相關因應的短中長期政策，保障女性的網路隱私。	neutral
隱私	「這是對女性的重大傷害，嚴重影響女性的網路隱私空間」，就連YouTuber上傳影片到網路，就有可能被製作成A片，且這些「數位烙印」永遠無法抹滅。	negative
隱私	從人才庫找人，加快新專案的速度：或許是要測試新軟體的隱私設定，也或許是要調查適合各地的乳酪通心麵口味該怎麼描述為佳。	neutral
隱私	另一個例子則是侵犯隱私。	negative
